timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673462844578,2592,HTTP Request,200,OK,Thread Group 1-3,text,true,,64499,122,18,18,https://www.banglapuzzle.com/,1186,0,481
1673462845080,2470,HTTP Request,200,OK,Thread Group 1-6,text,true,,64499,122,19,19,https://www.banglapuzzle.com/,1255,0,477
1673462844412,3340,HTTP Request,200,OK,Thread Group 1-2,text,true,,64499,122,20,20,https://www.banglapuzzle.com/,1363,0,562
1673462845412,2588,HTTP Request,200,OK,Thread Group 1-8,text,true,,64499,122,20,20,https://www.banglapuzzle.com/,1255,0,479
1673462844743,3335,HTTP Request,200,OK,Thread Group 1-4,text,true,,64499,122,19,19,https://www.banglapuzzle.com/,1647,0,477
1673462844912,3188,HTTP Request,200,OK,Thread Group 1-5,text,true,,64499,122,19,19,https://www.banglapuzzle.com/,1301,0,482
1673462845578,2893,HTTP Request,200,OK,Thread Group 1-9,text,true,,64499,122,20,20,https://www.banglapuzzle.com/,1428,0,483
1673462845745,3123,HTTP Request,200,OK,Thread Group 1-10,text,true,,64499,122,21,21,https://www.banglapuzzle.com/,1176,0,475
1673462846749,2362,HTTP Request,200,OK,Thread Group 1-16,text,true,,64499,122,22,22,https://www.banglapuzzle.com/,1535,0,479
1673462846246,2893,HTTP Request,200,OK,Thread Group 1-13,text,true,,64499,122,21,21,https://www.banglapuzzle.com/,1255,0,478
1673462847080,2441,HTTP Request,200,OK,Thread Group 1-18,text,true,,64499,122,22,22,https://www.banglapuzzle.com/,1263,0,478
1673462846082,3631,HTTP Request,200,OK,Thread Group 1-12,text,true,,64499,122,22,22,https://www.banglapuzzle.com/,1196,0,485
1673462846913,2968,HTTP Request,200,OK,Thread Group 1-17,text,true,,64499,122,22,22,https://www.banglapuzzle.com/,1244,0,476
1673462847918,2309,HTTP Request,200,OK,Thread Group 1-23,text,true,,64499,122,23,23,https://www.banglapuzzle.com/,1499,0,481
1673462846580,3954,HTTP Request,200,OK,Thread Group 1-15,text,true,,64499,122,24,24,https://www.banglapuzzle.com/,1244,0,475
1673462845913,4732,HTTP Request,200,OK,Thread Group 1-11,text,true,,64499,122,24,24,https://www.banglapuzzle.com/,1186,0,478
1673462847247,3648,HTTP Request,200,OK,Thread Group 1-19,text,true,,64499,122,24,24,https://www.banglapuzzle.com/,1259,0,475
