timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673458680530,2950,Twenty user,200,OK,Thread Group 1-5,text,true,,64499,122,15,15,https://www.banglapuzzle.com/,1183,0,479
1673458680397,3269,Twenty user,200,OK,Thread Group 1-4,text,true,,64499,122,14,14,https://www.banglapuzzle.com/,1267,0,485
1673458680662,3073,Twenty user,200,OK,Thread Group 1-6,text,true,,64499,122,13,13,https://www.banglapuzzle.com/,1260,0,481
1673458680797,3100,Twenty user,200,OK,Thread Group 1-7,text,true,,64499,122,12,12,https://www.banglapuzzle.com/,1649,0,478
1673458681194,2894,Twenty user,200,OK,Thread Group 1-10,text,true,,64499,122,11,11,https://www.banglapuzzle.com/,1174,0,474
1673458681326,2935,Twenty user,200,OK,Thread Group 1-11,text,true,,64499,122,10,10,https://www.banglapuzzle.com/,1269,0,479
1673458681726,3369,Twenty user,200,OK,Thread Group 1-14,text,true,,64499,122,9,9,https://www.banglapuzzle.com/,1259,0,485
1673458680928,4293,Twenty user,200,OK,Thread Group 1-8,text,true,,64499,122,8,8,https://www.banglapuzzle.com/,1270,0,478
1673458680065,5212,Twenty user,200,OK,Thread Group 1-1,text,true,,64499,122,7,7,https://www.banglapuzzle.com/,1856,0,673
1673458681460,4223,Twenty user,200,OK,Thread Group 1-12,text,true,,64499,122,6,6,https://www.banglapuzzle.com/,1646,0,474
1673458680131,5606,Twenty user,200,OK,Thread Group 1-2,text,true,,64499,122,5,5,https://www.banglapuzzle.com/,1333,0,607
1673458680266,5887,Twenty user,200,OK,Thread Group 1-3,text,true,,64499,122,4,4,https://www.banglapuzzle.com/,4250,0,478
1673458681859,4655,Twenty user,200,OK,Thread Group 1-15,text,true,,64499,122,3,3,https://www.banglapuzzle.com/,2737,0,1431
1673458681593,5064,Twenty user,200,OK,Thread Group 1-13,text,true,,64499,122,2,2,https://www.banglapuzzle.com/,2136,0,480
1673458681061,11083,Twenty user,200,OK,Thread Group 1-9,text,true,,64499,122,1,1,https://www.banglapuzzle.com/,3352,0,1433
